user_id,user_name,user_review_num,user_rating_avg
7t5a08,xoxo,13,3.4
8pl2n9,맑은물 맑은공기 깨끗한환경,2,5.0
108t0l1,이혁준,1,5.0
ghd8jt,june,75,3.7
tt6hvd,맛집킬러,198,2.9
s4t1h2,하임벡,11,5.0
bg7nra,눈사람,251,3.1
1p5dggc,22,4,3.0
16tn0la,채영,111,4.5
246lgj9,hi,14,4.6
urod0v,연희동돼지요정,491,3.2
n2fgu3,봉봉,114,3.6
fks0rb,허익덕,57,4.4
gbonsp,ㅇㅇ,31,3.1
s1ldtm,ten,22,4.5
n5vqtn,양곤,38,3.5
1p0rpeh,깽,130,3.5
becqcn,여행자,53,3.4
bfpnu9,핑슐랭가이드,723,4.4
1gok2c4,Maria,4,3.0
7sfhdh,hanul,20,2.4
192p5h3,냉정한 카페 판독가,64,3.5
sa6ksn,병호,38,3.1
qno7k2,Organic Roasted,20,4.7
beha8a,AND,21,5.0
132jtht,.,31,4.0
ul16df,후기쓰는 제이지,67,3.7
o3f28c,뭉멍레오,25,4.2
15s3i66,뮤뮤,279,3.9
g1ubpf,먹기위해사는사람,642,3.3
fi7nuj,잭,15,4.6
l1sh09,별점조작은말없이1점,390,3.0
begg40,헤헤,26,3.2
161duif,티키타카,12,4.8
mv3p7b,andis,8,5.0
133p7hl,이안,73,3.5
saddal,달달,20,3.1
kf1se6,명태말린살,326,4.4
mj5evf,맛없으면화나,149,4.1
11eeff5,SeanChoi,14,3.5
ml1jfh,SJ,137,2.5
n2qj6h,NNN,14,2.9
cguts8,nujay,268,3.7
mv6nug,야호,43,3.5
n0h9or,오후엔디카페인,109,4.0
f89agn,찌릿,181,3.5
9dhu5h,WZ,286,3.8
ntnjer,차철민,17,3.4
ek9rqu,Angeleno,129,4.1
1lble4e,,13,2.8
15su73q,Lim,1,5.0
1gidp8h,백은진,13,4.8
r7m2js,홍탁,2,3.0
g16jrd,여름,22,2.0
1bb583r,이지아,6,4.2
o8egle,독,6,2.3
1bqdi4e,ryanjshim,1,5.0
1crrfq3,피비,3,3.7
gcjdli,ㄱ,16,3.6
7vmmon,김승완,18,4.8
16p4t7l,배은정 Korea,7,4.4
151kktb,xx_xx,10,3.7
15gi4fi,mk,55,4.0
8q9rco,psh,14,3.6
10puaot,푸디,12,3.4
1hroqef,군침싸악,58,3.6
19olr0e,윤덕상,1,1.0
1sig9vj,사리추가해주세요,117,3.7
t6mk5m,VVVIP,12,1.0
7kqlso,아정,29,4.1
8o5nlc,이창호,4,4.3
12gab0k,니나 nina,4,4.5
