StringIndex,NumberIndex
고로커피로스터스 봉천동,0
나따오비까 대치점 대치동,1
뉴욕택시디저트 봉천동,2
델트 구의동,3
카페산다 봉천동,4
프레베리 마곡동,5
TODAH 우면동,6
꽁티드툴레아 신사동,7
더라운드 삼성점 삼성동,8
랑데자뷰 상수점 상수동,9
르자당 도산점 신사동,10
마호가니커피 여의도점 여의도동,11
몽마르뜨언덕위은하수다방 합정동,12
브라이언스커피 도곡동,13
씨케이코앤루소랩 청담점 청담동,14
아우프글렛 장안점 장안동,15
어반81 삼성동,16
어반레빗 역삼동,17
옹근달 성수동2가,18
정식카페 청담동,19
콘하스 한남점 한남동,20
트리타 신사동,21
펠트 도산공원점 신사동,22
필렛커피 합정동,23
한남작업실 한남동,24
Difcoffee 봉천동,25
디커피 봉천동,26
미디엄스톤 성수동1가,27
보니또커피샤로수점 봉천동,28
보야쥬 봉천동,29
카페 거북이 신림동,30
카페보니또 낙성대점 봉천동,31
프롬해빗 봉천동,32
공차 명동역점 충무로1가,33
네로우패스 한남동,34
스타벅스역삼역점 역삼역점 역삼동,35
커피인류 대치은마점 대치동,36
코지리틀 양재동,37
널담은공간 용산동2가,38
다움 부암동,39
더스팟패뷸러스 명동2가,40
로코랩 수송동,41
맥심플랜트 한남동,42
쿠카쿠 문정로데오점 문정동,43
메가엠지씨커피은평신사고개점 신사동,44
빽다방 응암역점 신사동,45
빽다방공덕새창로점 공덕새창로점 도화동,46
앤디스커피 서교동,47
이디야커피 새절역점 신사동,48
고이 가회동,49
고이북촌 가회동,50
다아는커피 석관동,51
설나루 방학동,52
시드누아노원본점 노원본점 상계동,53
와겐커피 방학점 방학동,54
우리동네커피집 도봉동,55
커피킹 아차산점 중곡동,56
톨릭스 도곡동,57
곰발커피 내수동,58
라포레스타 동교동,59
맥널티커피팩토리 연희동,60
바늘카페 연희동,61
샐리청 망원동,62
제대로커피 체부동,63
와플대학 홍대점 동교동,64
원오브씨 창천동,65
커피광 저동1가,66
투썸플레이스 홍대입구역 동교동,67
할리스커피 신촌연세로점 창천동,68
2막 창성동,69
맷카페 논현동,70
세루리안인사 인사 관훈동,71
슬릿 서교동,72
연남방앗간 연남동,73
카페테르트르 테르트르 창신동,74
커피리브레 타임스퀘어점 영등포동4가,75
커피타임 영등포동4가,76
파운드로컬 잠원동,77
퍼블릭맨션 목동,78
펠트 광화문점 청진동,79
하프커피 강남점 반포동,80
호아드 사간동,81
79파운야드 목동41타워점 목동,82
기글 문래동3가,83
내생애에스프레소 영등포동2가,84
뷰클랜드 송파동,85
아르무아 화양동,86
인왕산대충유원지 누하동,87
죠지서울 을지로3가,88
카몽 서초역점 서초동,89
카페솔트 문래동2가,90
튜토리얼 상수동,91
메가엠지씨커피 신촌점 창천동,92
메가커피 연희점 연희동,93
유어홈 문래동2가,94
유원섬커피 창천동,95
카페1953위드오드리 1953위드오드리 문래동2가,96
카페온도 연남동,97
루시카토 용산아이파크몰점 한강로3가,98
어느날오늘 상봉동,99
오르다빛 장안동,100
온니당 장안동,101
커피홀 촬영소사거리점 장안동,102
AUZ 원효로1가,103
델리카 이태원동,104
땡스오트 연남동,105
몽소베이커리앤카페 노량진점 노량진동,106
스타벅스 영등포시장교차로점 영등포동6가,107
써머레인 한남동,108
고디바삼청점 삼청점 삼청동,109
브루다인사동 공평동,110
스타벅스 강남구청역점 논현동,111
스타벅스 북촌로점 계동,112
애드커피 주교동,113
테라로사커피 광화문점 중학동,114
폴바셋 광화문점 중학동,115
폴바셋 종각역점 공평동,116
수수커피 디타워점 청진동,117
수애뇨339 평창동,118
체다앤올리 성수동1가,119
카페디키미 평창동,120
카페르세 상암동,121
포비브라이트 광화문점 신문로1가,122
AMIGGA 염리동,123
달다어요 신림동,124
마치마치 가로수길점 신사동,125
"문득,낙성 봉천동",126
쁘띠크 봉천동,127
스타벅스 보라매대교점 봉천동,128
스타벅스신림점 신림점 신림동,129
쏭카페 양재동,130
요샌 봉천동,131
폴바셋 롯데백화점관악점 봉천동,132
스타벅스 동부이촌동점 이촌동,133
스타벅스 양재역점 양재동,134
아티제동부이촌점 동부이촌점 이촌동,135
청년다방 마곡나루역점 마곡동,136
겨울이머무는집 서교동,137
금옥당 서교동,138
듀이 상암동,139
세잔 망원동,140
씨스터브레드 연남동,141
카페노티드 안국점 재동,142
카페페퍼 송파동,143
매스커피 안국역점 계동,144
몽루 효창동,145
카페뮤 동소문동3가,146
커피매터스 삼선동4가,147
커피브론즈 안국동,148
라미스콘 봉천동,149
리버웨이 합정동,150
미완성식탁 망원동,151
밀크홀1937 종로점 종로2가,152
이디야커피 서교동점 서교동,153
폴바셋 교대역점 서초동,154
할리스 응암점 신사동,155
