StringIndex,NumberIndex
공차 이대익스프레스점 대현동,0
투썸플레이스 숙대입구역점 남영동,1
폴바셋 방배역점 방배동,2
고로커피로스터스 봉천동,3
나따오비까 대치점 대치동,4
뉴욕택시디저트 봉천동,5
델트 구의동,6
카페산다 봉천동,7
프레베리 마곡동,8
TODAH 우면동,9
꽁티드툴레아 신사동,10
더라운드 삼성점 삼성동,11
랑데자뷰 상수점 상수동,12
르자당 도산점 신사동,13
마호가니커피 여의도점 여의도동,14
몽마르뜨언덕위은하수다방 합정동,15
브라이언스커피 도곡동,16
씨케이코앤루소랩 청담점 청담동,17
아우프글렛 장안점 장안동,18
어반81 삼성동,19
어반레빗 역삼동,20
옹근달 성수동2가,21
정식카페 청담동,22
콘하스 한남점 한남동,23
트리타 신사동,24
펠트 도산공원점 신사동,25
필렛커피 합정동,26
한남작업실 한남동,27
MTL한남 한남동,28
논탄토 신촌점 창천동,29
수수커피 디타워점 청진동,30
Difcoffee 봉천동,31
디커피 봉천동,32
미디엄스톤 성수동1가,33
보니또커피샤로수점 봉천동,34
보야쥬 봉천동,35
카페 거북이 신림동,36
카페보니또 낙성대점 봉천동,37
프롬해빗 봉천동,38
공차 방이역점 오금동,39
미드데이썬 성내동,40
애드앤드 화양동,41
이디야커피 오금점 가락동,42
청년다방 송파방이점 방이동,43
할리스커피 가락시장역점 가락동,44
공차 명동역점 충무로1가,45
네로우패스 한남동,46
스타벅스역삼역점 역삼역점 역삼동,47
커피인류 대치은마점 대치동,48
코지리틀 양재동,49
AUZ 원효로1가,50
써머레인 한남동,51
에딕티 명동2가,52
널담은공간 용산동2가,53
다움 부암동,54
더스팟패뷸러스 명동2가,55
로코랩 수송동,56
맥심플랜트 한남동,57
쿠카쿠 문정로데오점 문정동,58
메가엠지씨커피은평신사고개점 신사동,59
빽다방 응암역점 신사동,60
빽다방공덕새창로점 공덕새창로점 도화동,61
앤디스커피 서교동,62
이디야커피 새절역점 신사동,63
TWG티 신사동,64
디저트스토머치 연희동,65
탐앤탐스서울대입구점 서울대입구점 봉천동,66
아마스빈 버블티연신내점 갈현동,67
오브렛 을지로3가,68
플럽커피 갈현동,69
쎈느 성수동2가,70
오가다 대학로본사점 동숭동,71
투썸플레이스 건대입구점 화양동,72
더모놀로그하우스 후암동,73
모아다방 문래동2가,74
목화씨라운지 연남점 연남동,75
커피그래피티연남 연남동,76
고이 가회동,77
고이북촌 가회동,78
설빙신촌점 신촌점 창천동,79
카페미카야 서교동,80
다아는커피 석관동,81
설나루 방학동,82
시드누아노원본점 노원본점 상계동,83
와겐커피 방학점 방학동,84
우리동네커피집 도봉동,85
커피킹 아차산점 중곡동,86
톨릭스 도곡동,87
루나스터디카페 루나스터디 성내동,88
스타벅스 강동구청DT점 성내동,89
스타벅스올림픽공원남문점 올림픽공원남문점 방이동,90
투썸플레이스 천호로데오점 천호동,91
더티로우커피 신설동,92
