StringIndex,NumberIndex
공차 이대익스프레스점 대현동,0
투썸플레이스 숙대입구역점 남영동,1
폴바셋 방배역점 방배동,2
고로커피로스터스 봉천동,3
나따오비까 대치점 대치동,4
뉴욕택시디저트 봉천동,5
델트 구의동,6
카페산다 봉천동,7
프레베리 마곡동,8
빽다방 구로KT점 신림동,9
슬라바 가산동,10
TODAH 우면동,11
꽁티드툴레아 신사동,12
더라운드 삼성점 삼성동,13
랑데자뷰 상수점 상수동,14
르자당 도산점 신사동,15
마호가니커피 여의도점 여의도동,16
몽마르뜨언덕위은하수다방 합정동,17
브라이언스커피 도곡동,18
씨케이코앤루소랩 청담점 청담동,19
아우프글렛 장안점 장안동,20
어반81 삼성동,21
어반레빗 역삼동,22
옹근달 성수동2가,23
정식카페 청담동,24
콘하스 한남점 한남동,25
트리타 신사동,26
펠트 도산공원점 신사동,27
필렛커피 합정동,28
한남작업실 한남동,29
MTL한남 한남동,30
논탄토 신촌점 창천동,31
수수커피 디타워점 청진동,32
Difcoffee 봉천동,33
디커피 봉천동,34
미디엄스톤 성수동1가,35
보니또커피샤로수점 봉천동,36
보야쥬 봉천동,37
카페 거북이 신림동,38
카페보니또 낙성대점 봉천동,39
프롬해빗 봉천동,40
써머레인 한남동,41
초이문 한남동,42
카페로이스 갈현동,43
해머스미스커피 서울시립대점 전농동,44
헤이즐넛버터 회기동,45
제비꽃다방 부암동,46
튜토리얼 상수동,47
공차 방이역점 오금동,48
미드데이썬 성내동,49
애드앤드 화양동,50
이디야커피 오금점 가락동,51
청년다방 송파방이점 방이동,52
할리스커피 가락시장역점 가락동,53
3F로비 한강로3가,54
카페로비 한강로3가,55
공차 명동역점 충무로1가,56
네로우패스 한남동,57
스타벅스역삼역점 역삼역점 역삼동,58
커피인류 대치은마점 대치동,59
코지리틀 양재동,60
AUZ 원효로1가,61
에딕티 명동2가,62
모멘토브루어스 성수동1가,63
턴온 성수동2가,64
널담은공간 용산동2가,65
다움 부암동,66
더스팟패뷸러스 명동2가,67
로코랩 수송동,68
맥심플랜트 한남동,69
쿠카쿠 문정로데오점 문정동,70
메가엠지씨커피은평신사고개점 신사동,71
빽다방 응암역점 신사동,72
빽다방공덕새창로점 공덕새창로점 도화동,73
앤디스커피 서교동,74
이디야커피 새절역점 신사동,75
닥터로빈목동점 목동점 목동,76
제3화원 신월동,77
TWG티 신사동,78
디저트스토머치 연희동,79
탐앤탐스서울대입구점 서울대입구점 봉천동,80
스테이어와일 구의동,81
천계월 구의동,82
이디야커피 역삼중앙점 역삼동,83
클로리스티앤씨 역삼동,84
라이프워크 충무로2가,85
설빙신촌점 신촌점 창천동,86
아마스빈 버블티연신내점 갈현동,87
오브렛 을지로3가,88
플럽커피 갈현동,89
쎈느 성수동2가,90
오가다 대학로본사점 동숭동,91
투썸플레이스 건대입구점 화양동,92
더모놀로그하우스 후암동,93
모아다방 문래동2가,94
