name,address,user_id,rating,review,cafe
고로커피로스터스,봉천동,100i22n,4.0,커피랑 원두 맛남,고로커피로스터스 봉천동
나따오비까 대치점,대치동,100i22n,3.0,"에그타르트 클래식 ☆☆☆
에그타르트 크림치즈 ☆☆☆.5

시나몬향이 나고 빵 부분은 바삭바삭하나 계란 맛이 좀 적게 느껴진다",나따오비까 대치점 대치동
뉴욕택시디저트,봉천동,100i22n,2.0,나한테는 디저트가 너무 달았다 ㅜ,뉴욕택시디저트 봉천동
델트,구의동,100i22n,3.0,"플랫화이트 ☆☆☆

그럭저럭",델트 구의동
카페산다,봉천동,100i22n,3.0,,카페산다 봉천동
프레베리,마곡동,100i22n,5.0,안달고 맛있어요,프레베리 마곡동
TODAH,우면동,100q04c,5.0,"조금 늦게 가니 베이글이 없넹 ㅜㅜ흑 
너무 좋다 분위기",TODAH 우면동
꽁티드툴레아,신사동,100q04c,2.0,"너무 많은 기대를 했나.... 음식 왜케 맛없...ㅠㅜ 
테라스 분위기는 넘 좋은데 앞에서 사람들이 담배 핀다 ㅜㅜ",꽁티드툴레아 신사동
더라운드 삼성점,삼성동,100q04c,4.0,"냠냠
분위기도 좋앙 ㅎㅎ",더라운드 삼성점 삼성동
랑데자뷰 상수점,상수동,100q04c,4.0,분위기,랑데자뷰 상수점 상수동
르자당 도산점,신사동,100q04c,4.0,뇨끼 존맛탱,르자당 도산점 신사동
마호가니커피 여의도점,여의도동,100q04c,4.0,주차 1시간 지원돼서 좋아요,마호가니커피 여의도점 여의도동
몽마르뜨언덕위은하수다방,합정동,100q04c,4.0,분위기 인테리어,몽마르뜨언덕위은하수다방 합정동
브라이언스커피,도곡동,100q04c,4.0,와 스콘 너무 맛있당,브라이언스커피 도곡동
씨케이코앤루소랩 청담점,청담동,100q04c,4.0,"따뜻한 분위기
커피 마시따 ㅎㅎ",씨케이코앤루소랩 청담점 청담동
아우프글렛 장안점,장안동,100q04c,4.0,까눌레 완전 맛있당ㅋㅋㅋㅋㅋ,아우프글렛 장안점 장안동
어반81,삼성동,100q04c,3.0,"무난한 카페 
음료 양이 엄청 많고 사장님이 넘 젠틀하고 멋지심!",어반81 삼성동
어반레빗,역삼동,100q04c,2.0,,어반레빗 역삼동
옹근달,성수동2가,100q04c,4.0,테라스 넘 좋은데 여기 사람이 너무 많아서 음료가 겁나 밀려서 늦게 나옴 ㅜㅋㅋㅋㅋㅋ 그리고 여자 알바생이 너무 4가지가 없음...,옹근달 성수동2가
정식카페,청담동,100q04c,4.0,"무난무난. 브런치나 디저트 종류가 약간 중구난방인데, 브런치 시간 아니어도 먹을 수 있는 샌드위치나 빵종류가 있었으면 좋겠어요.",정식카페 청담동
콘하스 한남점,한남동,100q04c,4.0,"예뿌다 카페가 생각보다 엄청 컸음! 테라스도 있고ㅋㅋㅋ 주차 안되는 줄 알고 다른 데다가 대고 걸어갔는데, 알고보니 발렛이 가능했음ㅜㅋㅋㅋ 날 풀리면 다시 가야징",콘하스 한남점 한남동
트리타,신사동,100q04c,4.0,"사장님 엄청 친절하시당 ㅎㅎㅎ 
커피 마실 때는 디저트 메뉴가 좀 있었으면ㅜㅜ 
다음에 맥주 마시러 가봐야겠어요",트리타 신사동
펠트 도산공원점,신사동,100q04c,4.0,초코케이크 맛있네,펠트 도산공원점 신사동
필렛커피,합정동,100q04c,4.0,"생긴 지 한 달 조금 넘은 카페! 
스페인 바스크 치즈 케이크가 진짜 맛나당",필렛커피 합정동
한남작업실,한남동,100q04c,3.0,테라스 좋당,한남작업실 한남동
Difcoffee,봉천동,101iuk0,5.0,음료도 케익도 개맛있어요 아쉬운건 케익 크기ㅠ,Difcoffee 봉천동
디커피,봉천동,101iuk0,5.0,"와플 - 빵은 달달하니 짱 맛있어요. 크림 양 선택 가능해서 좋아요. 
+ 블루베리 잼 추가 - 약간 묽은데 상콤하니 맛있어요. 

크로와상 - 빵은 그냥저냥인데 겉에 화이트 초콜릿이 엄청 달아요. 당 충전 제대로 됩니다. bb
더보기",디커피 봉천동
미디엄스톤,성수동1가,101iuk0,3.0,디저트는 좋은데 음료는 아쉬워요,미디엄스톤 성수동1가
보니또커피샤로수점,봉천동,101iuk0,2.0,콜팝 같이 좋은 아이디어지만 커피도 맛이 그냥저냥이구 티라미수는 맛있진 않아요.. 특히 녹차 티라미수 별로ㅠ,보니또커피샤로수점 봉천동
보야쥬,봉천동,101iuk0,4.0,맛있어요! 커피는 무난쓰,보야쥬 봉천동
카페 거북이,신림동,101iuk0,2.0,"저렴한 가격이 아닌데 이렇게 맛없는 거 처음 먹어봐요... 
음료나 케익이나 싱겁...",카페 거북이 신림동
카페보니또 낙성대점,봉천동,101iuk0,2.0,콜팝 같이 좋은 아이디어지만 커피도 맛이 그냥저냥이구 티라미수는 맛있진 않아요.. 특히 녹차 티라미수 별로ㅠ,카페보니또 낙성대점 봉천동
프롬해빗,봉천동,101iuk0,4.0,티는 싱겁지만 블루베리크럼블 존맛이에요! 말차팥타르트는 팥맛은 안나고 말차맛이 진해서 녹린이인 제 입맛엔 좀 쓰지만 조금씩 먹으니 맛있더라구요!,프롬해빗 봉천동
