name,address,user_id,rating,review,cafe
공차 이대익스프레스점,대현동,100ck0j,1.0,"밑에 후기에 노란색탈색머리 알바 불친절하다고 그랬는데
진짜 그러네요 내돈주고 사먹는데 기분개나쁨 다시는 안갈듯",공차 이대익스프레스점 대현동
투썸플레이스 숙대입구역점,남영동,100ck0j,1.0,"최애 케이크가 투썸 스트로베리초콜릿케이크라서 엄청 많이 먹어봤는데 이렇게 맛없는 케이크는 처음이네요;;; 당황스러울정도임...
딸기는 엄청 신선한데 케이크 자체는 오래놔뒀던걸 쓴건지 시트는 엄청 푸석푸석해서 포크질 할때마다 부스러기 엄청 나오고 
크림안에 들어있는 크런치볼은 입에 넣자마자 녹아내림.. 크런치볼은 무슨 소프트볼인줄ㅡㅡ
더보기",투썸플레이스 숙대입구역점 남영동
폴바셋 방배역점,방배동,100ck0j,5.0,직원분들 전부 친절하시고 주차도 가능해서 이용하기에 좋아요:) 주차 관리인 아저씨도 친절하세요!,폴바셋 방배역점 방배동
고로커피로스터스,봉천동,100i22n,4.0,커피랑 원두 맛남,고로커피로스터스 봉천동
나따오비까 대치점,대치동,100i22n,3.0,"에그타르트 클래식 ☆☆☆
에그타르트 크림치즈 ☆☆☆.5

시나몬향이 나고 빵 부분은 바삭바삭하나 계란 맛이 좀 적게 느껴진다",나따오비까 대치점 대치동
뉴욕택시디저트,봉천동,100i22n,2.0,나한테는 디저트가 너무 달았다 ㅜ,뉴욕택시디저트 봉천동
델트,구의동,100i22n,3.0,"플랫화이트 ☆☆☆

그럭저럭",델트 구의동
카페산다,봉천동,100i22n,3.0,,카페산다 봉천동
프레베리,마곡동,100i22n,5.0,안달고 맛있어요,프레베리 마곡동
빽다방 구로KT점,신림동,100ooji,5.0,깨끗하고 자리도 띄엄띄엄 넉넉하고 친절하게 대해주시고 맛있다,빽다방 구로KT점 신림동
슬라바,가산동,100ooji,5.0,"맛있어요 친절하고 쾌적해요
커피도 과일주스도 다 만만족!!
이달의 음료는 추천하는 이유가 있음ㅡ신선하고 맛있음",슬라바 가산동
TODAH,우면동,100q04c,5.0,"조금 늦게 가니 베이글이 없넹 ㅜㅜ흑 
너무 좋다 분위기",TODAH 우면동
꽁티드툴레아,신사동,100q04c,2.0,"너무 많은 기대를 했나.... 음식 왜케 맛없...ㅠㅜ 
테라스 분위기는 넘 좋은데 앞에서 사람들이 담배 핀다 ㅜㅜ",꽁티드툴레아 신사동
더라운드 삼성점,삼성동,100q04c,4.0,"냠냠
분위기도 좋앙 ㅎㅎ",더라운드 삼성점 삼성동
랑데자뷰 상수점,상수동,100q04c,4.0,분위기,랑데자뷰 상수점 상수동
르자당 도산점,신사동,100q04c,4.0,뇨끼 존맛탱,르자당 도산점 신사동
