0,1,2,3
409,1904,4,와플 그냥 그렇지만 밀크 티 향 맛있어요
94,604,5,커피 맛있고 카페
198,445,4,직원 엄청 친절하셔요 ㅎㅎㅎ 카페 깔끔하고 예뻐요 ㅎㅎ 크로 플 은 속이 조금 더 바삭 좋을것 같아요 커피 괜찮아요
118,716,5,커피 딸기 라떼 먹었는데 가격 대비 기대 이상 이었습니다
105,657,5,이런 카페 ㅠㅠ 분위기 맛집 공간 너무 좋아요 음료 맛있었는데 디저트 조금 아쉬웠습니다 그래도 재 방문 의사 100%
504,241,5,케이크 맛있고 사장 너무 친절하셔서 기분 좋았어요 카페 분위기 그릇 너무 예뻐요 여유 좋은 곳 요
772,592,4,좁지만 한 방 카페 한 방 소품 돼있어서 구경 하는 재미 있고 넘 아기자기하고 읍니
411,530,4,건물 화장실 같이 쓰는 게 너무 거 빼면 괜찮은 곳
306,175,4,하프 앤 하프 커피 맛 좋았어요
85,554,3,마들렌 가격 안 것 같은데 개당 3000원 초콜릿 코팅 되어 있어 매우 매우 달아요
118,712,4,
586,2424,2,무슨 목소리 크로 플 은 아주 맛있습니다
329,773,3,그냥 저 괜찮은 정도 였어요 ㅎㅎ
361,1714,4,다 괜찮은데 혼자 일 하시는거 같음 손님 좀 벅 이심 ㅠ
450,553,4,커피 맛 좋은데 테이블 간격 너무 좁아요 ㅠ 옆 테이블 대화 다 들어 별 한개 ㅠㅠ
774,2797,3,아이스크림 라떼 맛있음 화장실 불편
95,606,4,커피 맛있고 직원 친절해요
502,2160,2,얼음 너무 조금 넣어서 아이스 도 음료 금방 같아요 원래 얼음 제일 먼저 넣고 음료 않나요 우유 넣은 후 얼음 아주 조금 넣고 뜨거운 샷 바로 얼음 안 수 있나요 그래서 편의점 얼음 컵 사서 더 더 보기
741,2543,3,
163,538,5,아메리카노 원두 산미 별로 였고 고소한 원두 맛있었어요 매장 않아요 테이크아웃 추천
352,179,5,잡힌 산미 개조 특유 복잡하고 신경 쓴 인테리어
85,552,4,테이블 의자 높이 힘듦 리 라떼 정말 맛있고 치즈 케이크 맛남 접근성 떨어져서 아쉬움 라떼 먹으러 또 가기 힘들어서 결국 못 가게 되는 카페
120,709,5,커피 짱 맛있어요 친절하시고 공간 쾌적합니다
720,814,5,틴 디저트 베이커리 류 디 너 메뉴 다 맛있다 가격 값 해서 갈 때 움 부라타 치즈 앤 베리 최애 스프 맛있고 빵 맛있고 바나나 타르트 맨날 품절 슬픔 ㅠ 직원 세상 친절 더 보기
579,1109,4,오 라떼 안 바코드 커피 맛 독특하고 달 않아서 않고 그냥 라떼 또 아니고 계속 생각나는 묘 맛 내부 좁음
365,1739,4,항상 사람 많음
