0,1,2,3
0,0,4,커피 원두 맛남
0,1,3,에그타르트 클래식 에그타르트 크림 치즈 5 시나몬 향 나고 빵 부분 계란 맛 좀 적게 느껴진다
0,2,2,나 는 디저트 너무 달았다 ㅜ
0,3,3,플랫 화이트 그럭저럭
0,4,3,nan
0,5,5,안달 맛있어요
1,6,5,조금 늦게 가니 베이글 ㅜㅜ 흑 너무 좋다 분위기
1,7,2,너무 많은 기대 했나 음식 왜케 맛없 ㅠㅜ 테라스 분위기 넘 좋은데 앞 사람 담배 ㅜㅜ
1,8,4,냠냠 분위기 좋 앙 ㅎㅎ
1,9,4,분위기
1,10,4,뇨끼 존맛 탱
1,11,4,주차 1시간 돼서 좋아요
1,12,4,분위기 인테리어
1,13,4,와 스콘 너무 맛있당
1,14,4,따뜻한 분위기 커피 마시 따 ㅎㅎ
1,15,4,까눌레 완전 맛있당 ㅋㅋㅋㅋㅋ
1,16,3,무난 카페 음료 양 엄청 많고 사장 넘 멋
1,17,2,nan
1,18,4,테라스 넘 좋은데 여기 사람 너무 많아서 음료 겁나 늦게 나옴 그리고 여자 알바생 너무 4 가지 없음
1,19,4,무난 무난 브런치 디저트 종류 약간 난방 브런치 시간 먹을 수 있는 샌드위치 빵 종류 있었으면 좋겠어요
1,20,4,카페 생각 엄청 테라스 있고 ㅋㅋㅋ 주차 안되는 줄 알 다른 데 다가 대고 알 보니 발렛 ㅜㅋㅋㅋ 날 다시 가야 징
1,21,4,사장 엄청 ㅎㅎㅎ 커피 마실 때 디저트 메뉴 좀 있었으면 ㅜㅜ 다음 맥주 마시러
1,22,4,초코 케이크 맛있네
1,23,4,생긴 지 한 달 조금 카페 바스크 치즈 케이크 진짜 맛 당
1,24,3,테라스 좋당
2,25,5,음료 케익 개맛 있어요 아쉬운건 케익 크기 ㅠ
2,26,5,와플 빵 달달 하니 짱 맛있어요 크림 양 선택 가능해서 좋아요 블루베리 잼 추가 약간 상콤 맛있어요 크로와상 빵 그냥 저 냥 겉 화이트 초콜릿 엄청 달아요 당 충전 제대로 됩니다 bb 더 보기
2,27,3,디저트 좋은데 음료 아쉬워요
2,28,2,콜팝 같이 좋은 커피 맛 그냥 저 이구 티라미수 맛있진 않아요 특히 녹차 티라미수 별로 ㅠ
2,29,4,맛있어요 커피 무난 쓰
2,30,2,저렴한 가격 아닌데 이렇게 맛없는 거 처음 먹어 봐요 음료 케익
2,31,2,콜팝 같이 좋은 커피 맛 그냥 저 이구 티라미수 맛있진 않아요 특히 녹차 티라미수 별로 ㅠ
2,32,4,티 블루베리 크 럼블 존맛 말차 팥 타르트 안나 말차 맛 진해서 이인 제 입맛 좀 조금씩 먹으니 맛있더라구요
3,33,1,알 왜 1 갠
3,34,1,
3,13,1,
3,35,5,nan
3,36,1,도착 후 조리
3,37,1,
4,38,5,좋은 뷰 독특한 티비 티 할 수 것 방문 해야 할 이유 1년 엽서 현재 나 잘 도착 했을 때 소소한 덤
4,39,2,인테리어 올 음식 요리 아닌 조리 나온다 주문 5분 알았음 많은 맛집 봤지만 이렇게 없는 맛 높은 평점 받은 곳 처음 봅니다
4,40,3,예쁜 곳 역시 너무 커피 가격 조금 r
4,41,4,도심 속 정원 느낌 사진 잘나오고 나름 루프 탑 있으나 스콘 맛없고 철학 카페
4,42,4,솔직히 깔 게 없는 곳 더 많은 맛집 정보 구독 더 보기
4,43,2,쿠 치아바타 절대 먹지 마세요 다시 한번 말 합니다 세상 가장 맛없는 치아바타 받아 려 미각 싫다면 절대 먹지 더 보기
5,44,5,여기 가져가면 주십니다
5,45,1,여기 하면 바로 남는샷 줌
5,46,5,여기 아이스티 진짜 찐 임
5,47,3,커피 맛 좀
5,18,5,직원 친절해서 좋았어요
5,48,4,베이커리 12시 이후 가능
6,49,4,nan
6,50,4,nan
6,51,3,nan
6,52,4,미숫가루 빙수 굿 수제 팥 추가 가능
6,53,3,노원역 근처 생각나는 카페 붐비는 여기 ㅠ
6,54,3,동네 늦은 시간 갈 수 있는 카페 새벽 1시 주차 가능
6,55,3,nan
6,56,3,카페 그린티 마시며 충 동 구매
6,57,3,무난 맛 예쁜 플레이 팅
7,58,4,조용해서 좋은 카페
7,59,4,브라우니 맛집 임
7,60,3,아이스 라떼 맛있음 얼그레이 케잌 기본 함 카페 자체 조용하고 편안하게 책 읽을 수 있어서 좋음
7,61,5,도구 치즈 프레첼 아아 환상 조합 쇼파 최고
7,62,3,뭔가 아주 약간
7,63,4,nan
8,64,5,맛있음 와플 집 후기
8,65,5,커피 맛있고 사장 너무 친절하세요
8,66,5,드립 정말 맛있고 직원 친절해요
8,67,1,밤 일 하는 키 큰 여자 겁나 불친절
8,68,1,여자 매니저 너무 불친절
9,69,4,오래 된 건물 개조 특이한 공간 구조 좋았지만 음료 개선 필요 ㅠ 계단 히 어른 함께 혹은 힐 분 있으신 분 않다
9,70,4,공간 디자인 통일 감 보이지 않지만 어느 곳 재미있을 곳 구수한 맛 원두 내린 플랫 화이트 맛있었고 다소 가벼운 원두 내린 아메리카노 별로 였다
9,71,5,해 비 좋을 것 같은 한 옥 개조 새것의 대비 좋고 것 같은 중정 굳이 두어 시각 공간 좋았다 내부 조금 게 아쉽지만 방문 시간대 사람 붐비지 않아 다행
9,72,5,스타일 분위기 음악 쩖 서비스 커피 맛 모두 만족 덤 상시
9,73,4,여기 음료 다른 곳 조금 더 비싼 편 음료 맛 옛날 주택 그대로 살린 주택 환기 좀
9,74,4,다 일몰 맛집 승부 직원 친절 플랫 화이트 괜찮은 편 블랙 라떼 곡물 라떼 같은 맛 아님 좌석 벤치 없으니 편히 의자 소파 기대 일몰 환상 하지만 한 폭 같은 전망 바라볼 수 있다 전망 그렇게 않다는 건 함정 차 없이 가기 힘든 위치 그 잔 와인 조금 그래도 카페 파는 커피 퀄리티 생각 하면 충분히 만족할 수 있는 곳 더 보기
9,75,4,종이 빵 만들고 리브 레 커피 파는 곳 꽤 규모 크고 높은 천장 소음 제법 울 린다 커피 좋고 영등포 타임스퀘어 연결 되어 있지만 주차 혜택 없음 원두 구매 가능
9,76,4,종이 빵 만들고 리브 레 커피 파는 곳 꽤 규모 크고 높은 천장 소음 제법 울 린다 커피 좋고 영등포 타임스퀘어 연결 되어 있지만 주차 혜택 없음 원두 구매 가능
9,77,5,몇몇 불친절하다는 리뷰 조금 신경 했지만 다행 나 성공 브런치 비건 메뉴 없어서 서빙 하시는 분과 해 와인 잘 맞는 비건 메뉴 해주셨다 파티 오 안 기분 좋은 평일 11시 입장 매장 밖 절반 정도 테이블 12시 반 부터 웨이 팅 시작 더 보기
9,78,5,커피 듁스 커피 취급 비주 얼 좋아서 시켜 많이
9,79,4,펠트 커피 역시 내 입 잘 직원 딱히 불친절 하긴 그렇지만 내 다녀 본 펠트 커피 중 가장 펠트 맞지 않는 느낌
9,80,4,이런 카페 파 미에 스테이션 안 아쉽다 음식 부리는 것 않지만 버터크림 커피 맛 궁금해서 들렀는데 한두 번은 더 맛볼 수 있을 것 같다 ㅎㅎ 매장 사람 없어도 조금
9,81,4,전망 좋은 곳 커피 한잔 그림 덤
10,82,3,레몬 케이크 맛있어 염 크로 플 도 좀 딱 딱
10,83,4,맛있는데 테이블 너무 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
10,84,5,홍대 가면 마지막 꼭 들르는 곳 ㅠㅠㅠ 고양이 있구 음식 갠 유 여러 번 가도 변함 없어서 더 좋음
10,85,5,커피 음료 다 맛있고 직원 넘
10,86,4,커피 맛남 디저트 살짝 아쉽 네 용 ㅠ
10,87,3,쏘 용
10,88,4,오늘 케잌 맛있어
10,89,5,와플 존맛
10,90,4,커피 쏘 쏘 디저트 맛있어용
10,91,4,케잌 맛있어용 강아지 있음
11,92,4,2 층 넓고 에어컨 빵빵 와이파이 잘 됨 근데 여름 되니 모기 넘 많음 ㅠ 오늘 5 함
11,93,3,장점 저렴함 넓음 2 층 있음 남녀 화장실 분리 콘센트 많음 창가 유리 큼 단점 와이파이 구림 2 층 거의 안 1 층 가끔 일 때 있음
11,94,4,공간 작 커피 맛있음
11,95,5,조용하고 분위기 좋은 편
11,96,4,공간 넓고 오드리 초코 케익 너무 작음
11,97,3,거리 두기 4 단계 휴무 듯
12,98,5,마카롱 만족
12,99,5,정말로 좋아하고 애정 하는 디저트 맛집 입니다 치즈케이크 정말 최고 입니다
12,100,4,맛 좋은데 매장 상 좁다 포장 배달 추천
12,101,5,인생 에그타르트 마카롱 짱 맛
12,102,5,굿
13,103,4,정석 브런치
13,104,5,파니니 짱 맛
13,105,4,맛있긴한데 양 ㅜ 너무 ㅜ 적어요 ㅠㅜㅜ
13,106,5,존맛 탱
13,107,5,세상 친절하 심 다른 스타벅스 직원 거의 다 친절하신데 대부분 그 중 탑
13,108,4,웨이팅 오
14,109,5,평일 손님 없어 우리 끼리 맛있게
14,110,3,아메리카노 천원 어떤 맛 일까 싼 커피 비싼 커피 다 이유 ㅎ
14,111,3,약 속 때문 방문 커피 한 모금 마시고 다 버림 ㅠ
14,112,3,커피 맛 없고 오 트 라떼 괜찮아요 쿠폰 사용 목적 스벅
14,113,4,친절하고 커피 괜찮아요
14,114,2,핸드 드립 맛 ㅜ 함께 간 지인
14,115,5,친절하고 아이스크림 맛 요
14,116,5,아이스크림 맛 요
15,103,5,에그베네딕트 굿
15,39,4,햄버거 굿
15,117,4,블렌드 맛있음 얼그레이 파운드 케잌
15,118,4,샌드위치 괜찮음
15,108,5,예쁜 플레이 팅 브런치 굿
15,119,4,아보카도 샌드위치 굿
15,120,4,뷰 밀크 티 not
15,121,4,깔끔한 분위기
15,79,4,라떼 괜찮음
15,122,4,베이글 굿
15,81,4,때 오면
